edgeID,startNode,endNode
AELEV00SL2_AELEV00S0G,AELEV00SL2,AELEV00S0G
AELEV00SL2_AELEV00S01,AELEV00SL2,AELEV00S01
AELEV00SL2_AELEV00S02,AELEV00SL2,AELEV00S02
AELEV00SL2_AELEV00S03,AELEV00SL2,AELEV00S03
AELEV00S0G_AELEV00S01,AELEV00S0G,AELEV00S01
AELEV00S0G_AELEV00S02,AELEV00S0G,AELEV00S02
AELEV00S0G_AELEV00S03,AELEV00S0G,AELEV00S03
AELEV00S01_AELEV00S02,AELEV00S01,AELEV00S02
AELEV00S01_AELEV00S03,AELEV00S01,AELEV00S03
AELEV00S02_AELEV00S03,AELEV00S02,AELEV00S03
,AELEV00SL2,AHALL001L2
,AHALL001L2,AHALL002L2
,AHALL002L2,AEXIT002L2
,AHALL002L2,AINFO001L2
,AHALL002L2,ALABS001L2
,AEXIT0010G,AHALL0010G
,AHALL0010G,AHALL0020G
,AHALL0020G,AHALL0030G
,AHALL0010G,AHALL0050G
,AHALL0050G,AHALL0070G
,AHALL0070G,AHALL0080G
,AHALL0080G,AHALL0090G
,AHALL0080G,AHALL0100G
,AHALL0100G,AHALL0110G
,AHALL0060G,AHALL0080G
,AHALL0060G,AHALL0030G
,AHALL0080G,ACONF0010G
,AHALL0060G,AHALL0020G
,AHALL0030G,AHALL0040G
,AHALL0040G,ADEPT0010G
,AHALL0110G,ADEPT0020G
,AHALL0070G,AINFO0020G
,AHALL0070G,ACONF0010G
,AHALL0020G,ASTAI0010G
,AHALL0090G,AINFO0010G
,AINFO0020G,ACONF0010G
,AINFO0020G,AHALL0080G
,AHALL0060G,ACONF0010G
,AHALL0090G,AELEV00S0G
,AHALL00201,AHALL00301
,AHALL00301,AHALL00401
,AHALL00401,AHALL00501
,AHALL00501,AHALL00601
,AHALL00101,ARETL00101
,AHALL00301,AHALL00801
,AHALL00101,AHALL00201
,AHALL00901,AHALL00101
,AHALL00501,AHALL00701
,AHALL00801,AELEV00S01
,AHALL00401,ADEPT00101
,ADEPT00201,AHALL00601
,ADEPT00301,AHALL00701
,AHALL00201,ASTAI00101
,AHALL00901,AHALL00201
,AHALL00901,AREST00101
,AHALL00801,AHALL00401
,AHALL00102,ACONF00102
,AHALL00102,AHALL00602
,AHALL00602,WHALL01002
,AHALL00102,AHALL00202
,AHALL00202,AHALL00302
,AHALL00302,AHALL00402
,AHALL00402,AHALL00502
,AHALL00502,ADEPT00102
,AHALL00402,AELEV00S02
,AHALL00202,ASTAI00102
,AHALL00102,ASTAI00102
,AHALL00103,AHALL00203
,AHALL00203,AHALL00303
,AHALL00303,AHALL00403
,AHALL00403,AHALL00503
,AHALL00503,ACONF00103
,AHALL00503,AREST00103
,AHALL00103,AELEV00S03
,AHALL00203,ALABS00103
,AHALL00303,ALABS00203
,ASTAI0010G,ASTAI00101
,ASTAI00101,ASTAI00102
