edgeID,startNode,endNode
WELEV00L02_HHALL00102,WELEV00L02,HHALL00102
HHALL00102_HHALL00202,HHALL00102,HHALL00202
HHALL00202_HRETL00102,HHALL00202,HRETL00102
HHALL00202_HHALL00302,HHALL00202,HHALL00302
HHALL00302_HSTAI00102,HHALL00302,HSTAI00102
HHALL00302_WHALL00302,HHALL00302,WHALL00302
HHALL00102_HHALL00402,HHALL00102,HHALL00402
HHALL00402_HHALL00502,HHALL00402,HHALL00502
HHALL00502_HRETL00202,HHALL00502,HRETL00202
HRETL00202_HBATH00102,HRETL00202,HBATH00102
HHALL00502_HRETL00302,HHALL00502,HRETL00302
HHALL00502_HHALL00602,HHALL00502,HHALL00602
HHALL00602_HHALL00702,HHALL00602,HHALL00702
HHALL00702_HSTAI00202,HHALL00702,HSTAI00202
HHALL00702_HHALL00802,HHALL00702,HHALL00802
HHALL00802_HSTAI00302,HHALL00802,HSTAI00302
HHALL00802_HHALL00902,HHALL00802,HHALL00902
HHALL00902_WHALL00702,HHALL00902,WHALL00702
HHALL00902_WELEV00M02,HHALL00902,WELEV00M02
WELEV00M02_HHALL01002,WELEV00M02,HHALL01002
HHALL01002_HDEPT00102,HHALL01002,HDEPT00102
HHALL01002_WHALL00502,HHALL01002,WHALL00502
WHALL00103_WELEV00M03,WHALL00103,WELEV00M03
WELEV00M03_HHALL00503,WELEV00M03,HHALL00503
HHALL00503_HSTAI00103,HHALL00503,HSTAI00103
HHALL00503_HHALL00403,HHALL00503,HHALL00403
HHALL00403_HHALL00303,HHALL00403,HHALL00303
HHALL00303_HHALL00203,HHALL00303,HHALL00203
HHALL00203_HLABS00103,HHALL00203,HLABS00103
HHALL00303_HHALL00103,HHALL00303,HHALL00103
WELEV00L03_HHALL00603,WELEV00L03,HHALL00603
HHALL00603_HHALL00703,HHALL00603,HHALL00703
HHALL00703_HDEPT00103,HHALL00703,HDEPT00103
HHALL00703_HHALL00803,HHALL00703,HHALL00803
HHALL00803_HSERV00103,HHALL00803,HSERV00103
HHALL00803_HHALL00903,HHALL00803,HHALL00903
HHALL00903_HHALL01003,HHALL00903,HHALL01003
HHALL01003_HBATH00103,HHALL01003,HBATH00103
HHALL00903_HHALL01103,HHALL00903,HHALL01103
HHALL01103_HDEPT00203,HHALL01103,HDEPT00203
HHALL01103_HHALL01203,HHALL01103,HHALL01203
HHALL01203_HHALL01303,HHALL01203,HHALL01303
HHALL01303_HHALL01403,HHALL01303,HHALL01403
HHALL01403_HHALL01503,HHALL01403,HHALL01503
HHALL01503_HBATH00203,HHALL01503,HBATH00203
HHALL01503_HHALL00603,HHALL01503,HHALL00603
