edgeID,startNode,endNode
CCONF002L1_WELEV00HL1,CCONF002L1,WELEV00HL1
CCONF003L1_CHALL002L1,CCONF003L1,CHALL002L1
CDEPT002L1_CDEPT003L1,CDEPT002L1,CDEPT003L1
CDEPT003L1_CHALL014L1,CDEPT003L1,CHALL014L1
CDEPT004L1_CHALL002L1,CDEPT004L1,CHALL002L1
CHALL001L1_CREST001L1,CHALL001L1,CREST001L1
CHALL001L2_WELEV00JL2,CHALL001L2,WELEV00JL2
CHALL002L1_CSERV001L1,CHALL002L1,CSERV001L1
CHALL002L2_CREST001L2,CHALL002L2,CREST001L2
CHALL003L1_CCONF003L1,CHALL003L1,CCONF003L1
CHALL003L1_CLABS004L1,CHALL003L1,CLABS004L1
CHALL003L2_CHALL002L2,CHALL003L2,CHALL002L2
CHALL003L2_WELEV00KL2,CHALL003L2,WELEV00KL2
CHALL004L1_CREST004L1,CHALL004L1,CREST004L1
CHALL004L2_CHALL003L2,CHALL004L2,CHALL003L2
CHALL005L1_WELEV00ML1,CHALL005L1,WELEV00ML1
CHALL005L2_CHALL006L2,CHALL005L2,CHALL006L2
CHALL005L2_WELEV00ML2,CHALL005L2,WELEV00ML2
CHALL006L1_CHALL007L1,CHALL006L1,CHALL007L1
CHALL006L2_CHALL007L2,CHALL006L2,CHALL007L2
CHALL007L1_CHALL008L1,CHALL007L1,CHALL008L1
CHALL007L2_CHALL008L2,CHALL007L2,CHALL008L2
CHALL008L1_CDEPT004L1,CHALL008L1,CDEPT004L1
CHALL008L1_WELEV00KL1,CHALL008L1,WELEV00KL1
CHALL008L2_CHALL009L2,CHALL008L2,CHALL009L2
CHALL008L2_WELEV00LL2,CHALL008L2,WELEV00LL2
CHALL009L1_CHALL010L1,CHALL009L1,CHALL010L1
CHALL009L1_CRETL001L1,CHALL009L1,CRETL001L1
CHALL009L2_CHALL010L2,CHALL009L2,CHALL010L2
CHALL010L1_CREST003L1,CHALL010L1,CREST003L1
CHALL010L2_CHALL004L2,CHALL010L2,CHALL004L2
CHALL011L1_WELEV00JL1,CHALL011L1,WELEV00JL1
CHALL012L1_CHALL013L1,CHALL012L1,CHALL013L1
CHALL013L1_CDEPT002L1,CHALL013L1,CDEPT002L1
CHALL014L1_WELEV00LL1,CHALL014L1,WELEV00LL1
CHALL015L1_CCONF001L1,CHALL015L1,CCONF001L1
CHALL015L1_CHALL011L1,CHALL015L1,CHALL011L1
CLABS001L1_CREST002L1,CLABS001L1,CREST002L1
CLABS001L2_CHALL001L2,CLABS001L2,CHALL001L2
CLABS002L1_CHALL005L1,CLABS002L1,CHALL005L1
CLABS002L1_CREST001L1,CLABS002L1,CREST001L1
CLABS002L2_WELEV00KL2,CLABS002L2,WELEV00KL2
CLABS003L1_CHALL006L1,CLABS003L1,CHALL006L1
CLABS004L1_CLABS003L1,CLABS004L1,CLABS003L1
CLABS005L1_CHALL003L1,CLABS005L1,CHALL003L1
CREST001L2_CLABS001L2,CREST001L2,CLABS001L2
CREST002L1_CHALL006L1,CREST002L1,CHALL006L1
CREST002L2_CSERV001L2,CREST002L2,CSERV001L2
CREST003L1_CHALL015L1,CREST003L1,CHALL015L1
CREST004L1_CLABS005L1,CREST004L1,CLABS005L1
CRETL001L1_CHALL012L1,CRETL001L1,CHALL012L1
CSERV001L1_CCONF002L1,CSERV001L1,CCONF002L1
CSERV001L2_CLABS002L2,CSERV001L2,CLABS002L2
WELEV00HL1_CHALL004L1,WELEV00HL1,CHALL004L1
WELEV00KL1_CHALL009L1,WELEV00KL1,CHALL009L1
WELEV00LL1_CHALL001L1,WELEV00LL1,CHALL001L1
WELEV00ML1_CLABS001L1,WELEV00ML1,CLABS001L1
WELEV00ML2_CREST002L2,WELEV00ML2,CREST002L2
WHALL001L2_CHALL005L2,WHALL001L2,CHALL005L2
