edgeID,startNode,endNode
WHALL00402_BSTAI00102,WHALL00402,BSTAI00102
BSTAI00102_BHALL00102,BSTAI00102,BHALL00102
BHALL00102_BHALL00202,BHALL00102,BHALL00202
BHALL00202_BHALL00502,BHALL00202,BHALL00502
BHALL00502_BDEPT00402,BHALL00502,BDEPT00402
BDEPT00402_BHALL00602,BDEPT00402,BHALL00602
BHALL00602_BHALL00702,BHALL00602,BHALL00702
BHALL00702_BHALL01002,BHALL00702,BHALL01002
BHALL01002_BSTAI00402,BHALL01002,BSTAI00402
BSTAI00402_BHALL01102,BSTAI00402,BHALL01102
BHALL01102_BHALL01202,BHALL01102,BHALL01202
BHALL01202_BHALL01302,BHALL01202,BHALL01302
BHALL01302_BDEPT00802,BHALL01302,BDEPT00802
BDEPT00802_BSTAI00602,BDEPT00802,BSTAI00602
BSTAI00602_BDEPT00902,BSTAI00602,BDEPT00902
BDEPT00902_BHALL01402,BDEPT00902,BHALL01402
BHALL01402_WHALL00102,BHALL01402,WHALL00102
BHALL00102_BSTAI01002,BHALL00102,BSTAI01002
BSTAI01002_WELEV00K02,BSTAI01002,WELEV00K02
BSTAI01002_BHALL00302,BSTAI01002,BHALL00302
BHALL00302_BDEPT00202,BHALL00302,BDEPT00202
BDEPT00202_BCONF00102,BDEPT00202,BCONF00102
BHALL00302_BREST00102,BHALL00302,BREST00102
BHALL00302_BHALL00402,BHALL00302,BHALL00402
BHALL00402_BLABS00102,BHALL00402,BLABS00102
BHALL00402_BREST00302,BHALL00402,BREST00302
BREST00302_BSTAI00902,BREST00302,BSTAI00902
BSTAI00902_WHALL00602,BSTAI00902,WHALL00602
BHALL00402_BHALL03102,BHALL00402,BHALL03102
BHALL03102_BSTAI00802,BHALL03102,BSTAI00802
BSTAI00802_BREST00402,BSTAI00802,BREST00402
BREST00402_BHALL03202,BREST00402,BHALL03202
BHALL03102_BDEPT00602,BHALL03102,BDEPT00602
BHALL00502_WELEV00J02,BHALL00502,WELEV00J02
BHALL00502_BDEPT00302,BHALL00502,BDEPT00302
BHALL00602_BREST00202,BHALL00602,BREST00202
BREST00202_BHALL00802,BREST00202,BHALL00802
BHALL00802_BSTAI00302,BHALL00802,BSTAI00302
BHALL00702_BHALL01502,BHALL00702,BHALL01502
BHALL01002_BHALL01602,BHALL01002,BHALL01602
BHALL01202_BSTAI00502,BHALL01202,BSTAI00502
BSTAI00502_BDEPT00702,BSTAI00502,BDEPT00702
BDEPT00702_BHALL01702,BDEPT00702,BHALL01702
BHALL01102_BHALL02302,BHALL01102,BHALL02302
BHALL00602_BHALL01802,BHALL00602,BHALL01802
BHALL01802_BDEPT00502,BHALL01802,BDEPT00502
BDEPT00502_BHALL01902,BDEPT00502,BHALL01902
BHALL01902_BHALL02002,BHALL01902,BHALL02002
BHALL02002_BHALL02102,BHALL02002,BHALL02102
BHALL02202_BHALL02302,BHALL02202,BHALL02302
BHALL01902_WELEV00H02,BHALL01902,WELEV00H02
BHALL02002_BHALL02902,BHALL02002,BHALL02902
BHALL02902_BREST00502,BHALL02902,BREST00502
BREST00502_BHALL03002,BREST00502,BHALL03002
BHALL03002_BSTAI00702,BHALL03002,BSTAI00702
BHALL03002_BDEPT00602,BHALL03002,BDEPT00602
BHALL02102_BSERV00102,BHALL02102,BSERV00102
BHALL02302_BINFO00102,BHALL02302,BINFO00102
BINFO00102_BLABS00202,BINFO00102,BLABS00202
BHALL02202_BINFO00102,BHALL02202,BINFO00102
BINFO00102_BHALL02402,BINFO00102,BHALL02402
BHALL02302_BINFO00202,BHALL02302,BINFO00202
BINFO00202_BHALL02502,BINFO00202,BHALL02502
BHALL02802_BINFO00202,BHALL02802,BINFO00202
BHALL02502_BHALL01302,BHALL02502,BHALL01302
BHALL02502_BHALL02602,BHALL02502,BHALL02602
BHALL02602_BRETL00102,BHALL02602,BRETL00102
BRETL00102_BHALL02702,BRETL00102,BHALL02702
BHALL02702_BHALL02802,BHALL02702,BHALL02802
BHALL02602_BHALL01402,BHALL02602,BHALL01402
BHALL00202_BSTAI00202,BHALL00202,BSTAI00202
BSTAI00202_BDEPT00102,BSTAI00202,BDEPT00102
BDEPT00102_BHALL00902,BDEPT00102,BHALL00902
BHALL03302_WELEV00E02,BHALL03302,WELEV00E02
BHALL02402_BHALL03402,BHALL02402,BHALL03402
BHALL02502_BHALL03402,BHALL02502,BHALL03402
BHALL02802_BHALL03402,BHALL02802,BHALL03402
BHALL03402_WELEV00F02,BHALL03402,WELEV00F02
BHALL01202_WELEV00G02,BHALL01202,WELEV00G02
BSTAI00502_WELEV00G02,BSTAI00502,WELEV00G02
