edgeID,startNode,endNode
DHALL00102_DHALL00202,DHALL00102,DHALL00202
DHALL00202_DHALL00302,DHALL00202,DHALL00302
DHALL00302_DHALL00402,DHALL00302,DHALL00402
DHALL00302_DHALL00502,DHALL00302,DHALL00502
DHALL00502_DHALL00602,DHALL00502,DHALL00602
DHALL00602_DHALL00702,DHALL00602,DHALL00702
DHALL00702_DHALL00802,DHALL00702,DHALL00802
DHALL00802_DHALL00902,DHALL00802,DHALL00902
DHALL00902_DHALL01002,DHALL00902,DHALL01002
DHALL01002_DHALL01102,DHALL01002,DHALL01102
DHALL01102_DHALL01202,DHALL01102,DHALL01202
DHALL01202_DHALL01302,DHALL01202,DHALL01302
DHALL01302_DHALL01402,DHALL01302,DHALL01402
DHALL00902_DSTAI00102,DHALL00902,DSTAI00102
DHALL01202_DCONF00102,DHALL01202,DCONF00102
DHALL01402_DELEV00A02,DHALL01402,DELEV00A02
DHALL01202_DHALL01502,DHALL01202,DHALL01502
DHALL01502_DHALL01602,DHALL01502,DHALL01602
DHALL01602_DHALL01702,DHALL01602,DHALL01702
DHALL01602_DHALL01802,DHALL01602,DHALL01802
DHALL01802_DSTAI00202,DHALL01802,DSTAI00202
DSTAI00202_DHALL01902,DSTAI00202,DHALL01902
DHALL01902_DHALL02002,DHALL01902,DHALL02002
DHALL02002_DHALL02102,DHALL02002,DHALL02102
DHALL02102_DHALL02202,DHALL02102,DHALL02202
DHALL02202_DHALL02302,DHALL02202,DHALL02302
DHALL02302_DHALL02402,DHALL02302,DHALL02402
DHALL02102_DRETL00102,DHALL02102,DRETL00102
DHALL02202_DSTAI00302,DHALL02202,DSTAI00302
DHALL01802_DHALL02602,DHALL01802,DHALL02602
DHALL02602_DHALL02502,DHALL02602,DHALL02502
DHALL02502_DEXIT00102,DHALL02502,DEXIT00102
DHALL02502_DDEPT00102,DHALL02502,DDEPT00102
DHALL02502_DDEPT00202,DHALL02502,DDEPT00202
DHALL02602_DHALL02702,DHALL02602,DHALL02702
DHALL02702_DHALL02802,DHALL02702,DHALL02802
DHALL02802_DHALL02902,DHALL02802,DHALL02902
DHALL02902_DHALL03002,DHALL02902,DHALL03002
DHALL02702_DINFO00102,DHALL02702,DINFO00102
DHALL02802_DSTAI00402,DHALL02802,DSTAI00402
DHALL03002_DELEV00B02,DHALL03002,DELEV00B02
DHALL03002_DREST00102,DHALL03002,DREST00102
DHALL02902_DHALL03102,DHALL02902,DHALL03102
DHALL03102_DHALL03202,DHALL03102,DHALL03202
DHALL03202_DSTAI00502,DHALL03202,DSTAI00502
DHALL03102_DHALL03302,DHALL03102,DHALL03302
DHALL03302_DHALL03402,DHALL03302,DHALL03402
DHALL03402_DHALL03502,DHALL03402,DHALL03502
DHALL03502_DHALL03602,DHALL03502,DHALL03602
DHALL03602_DHALL03702,DHALL03602,DHALL03702
DHALL03702_DHALL03802,DHALL03702,DHALL03802
DHALL03602_DSTAI00602,DHALL03602,DSTAI00602
DHALL03702_DELEV00C02,DHALL03702,DELEV00C02
DHALL03302_DHALL03902,DHALL03302,DHALL03902
DHALL03902_DREST00202,DHALL03902,DREST00202
DHALL03902_DDEPT00302,DHALL03902,DDEPT00302
DDEPT00302_DHALL04002,DDEPT00302,DHALL04002
DHALL04002_DHALL04102,DHALL04002,DHALL04102
DHALL04002_DSTAI00702,DHALL04002,DSTAI00702
DHALL03302_DHALL04202,DHALL03302,DHALL04202
DHALL04202_DHALL04302,DHALL04202,DHALL04302
DHALL04302_DHALL04402,DHALL04302,DHALL04402
DHALL04202_DHALL04502,DHALL04202,DHALL04502
DHALL04502_DLABS00102,DHALL04502,DLABS00102
DHALL04502_DHALL04602,DHALL04502,DHALL04602
DHALL04602_DHALL04702,DHALL04602,DHALL04702
DHALL04702_DHALL04802,DHALL04702,DHALL04802
DHALL04702_DHALL04902,DHALL04702,DHALL04902
DHALL04902_DREST00302,DHALL04902,DREST00302
DHALL04902_DHALL05002,DHALL04902,DHALL05002
DHALL05002_DHALL05102,DHALL05002,DHALL05102
DHALL05102_DSTAI00802,DHALL05102,DSTAI00802
DHALL05002_DHALL05202,DHALL05002,DHALL05202
DHALL05202_DREST00402,DHALL05202,DREST00402
DHALL05202_DHALL05302,DHALL05202,DHALL05302
DHALL05302_DINFO00202,DHALL05302,DINFO00202
DHALL05302_DHALL05402,DHALL05302,DHALL05402
DHALL05402_DHALL05502,DHALL05402,DHALL05502
DHALL05402_DHALL05802,DHALL05402,DHALL05802
DHALL05502_DHALL05602,DHALL05502,DHALL05602
DHALL05602_DHALL05702,DHALL05602,DHALL05702
DHALL05602_DELEV00D02,DHALL05602,DELEV00D02
DHALL05802_DDEPT00402,DHALL05802,DDEPT00402
DHALL05802_WHALL00202,DHALL05802,WHALL00202
