edgeID,startNode,endNode
WHALL002L2_GHALL001L2,WHALL002L2,GHALL001L2
GHALL001L2_GLABS003L2,GHALL001L2,GLABS003L2
GLABS003L2_GREST004L2,GLABS003L2,GREST004L2
GREST004L2_GHALL005L2,GREST004L2,GHALL005L2
GHALL005L2_GELEV00QL2,GHALL005L2,GELEV00QL2
GELEV00QL2_GHALL007L2,GELEV00QL2,GHALL007L2
GHALL007L2_GHALL008L2,GHALL007L2,GHALL008L2
GHALL007L2_GHALL009L2,GHALL007L2,GHALL009L2
GHALL009L2_GHALL010L2,GHALL009L2,GHALL010L2
GHALL010L2_GHALL011L2,GHALL010L2,GHALL011L2
GHALL011L2_GHALL012L2,GHALL011L2,GHALL012L2
GHALL012L2_GHALL013L2,GHALL012L2,GHALL013L2
GHALL013L2_GLABS014L2,GHALL013L2,GLABS014L2
GLABS014L2_GLABS015L2,GLABS014L2,GLABS015L2
GLABS015L2_GHALL016L2,GLABS015L2,GHALL016L2
GHALL016L2_GHALL017L2,GHALL016L2,GHALL017L2
GEXIT00101_GHALL00201,GEXIT00101,GHALL00201
GEXIT00101_GSTAI01301,GEXIT00101,GSTAI01301
GHALL00201_GHALL00301,GHALL00201,GHALL00301
GSTAI00501_GHALL00601,GSTAI00501,GHALL00601
GHALL00601_GHALL00701,GHALL00601,GHALL00701
GHALL00701_GHALL00801,GHALL00701,GHALL00801
GHALL00801_GHALL00901,GHALL00801,GHALL00901
GHALL00901_GHALL01001,GHALL00901,GHALL01001
GHALL00601_GREST01201,GHALL00601,GREST01201
GHALL00601_GSTAI01301,GHALL00601,GSTAI01301
GHALL01401_GHALL00801,GHALL01401,GHALL00801
GHALL01401_GHALL01501,GHALL01401,GHALL01501
GHALL01501_GHALL01601,GHALL01501,GHALL01601
GHALL00701_GHALL01701,GHALL00701,GHALL01701
GHALL01701_GELEV00Q01,GHALL01701,GELEV00Q01
GELEV00Q01_GDEPT01901,GELEV00Q01,GDEPT01901
GDEPT01901_GCONF02001,GDEPT01901,GCONF02001
GHALL00301_GHALL02101,GHALL00301,GHALL02101
GHALL02101_GHALL02201,GHALL02101,GHALL02201
GHALL02201_GSERV02301,GHALL02201,GSERV02301
GSERV02301_GHALL02401,GSERV02301,GHALL02401
GHALL02401_GELEV00N01,GHALL02401,GELEV00N01
GHALL02101_GHALL02801,GHALL02101,GHALL02801
GHALL02801_GHALL02901,GHALL02801,GHALL02901
GHALL02901_GHALL0301,GHALL02901,GHALL0301
GHALL0301_GHALL03101,GHALL0301,GHALL03101
GHALL0301_GHALL03301,GHALL0301,GHALL03301
GHALL03301_GHALL03401,GHALL03301,GHALL03401
GHALL03401_GRETL03501,GHALL03401,GRETL03501
WHALL00902_GHALL03702,WHALL00902,GHALL03702
GHALL03702_GHALL03802,GHALL03702,GHALL03802
GHALL03702_GHALL03602,GHALL03702,GHALL03602
GHALL03702_GHALL03302,GHALL03702,GHALL03302
GHALL03602_GDEPT03502,GHALL03602,GDEPT03502
GHALL03802_GHALL03402,GHALL03802,GHALL03402
GDEPT03502_GHALL03002,GDEPT03502,GHALL03002
GHALL03002_GREST03102,GHALL03002,GREST03102
GREST03102_GHALL03202,GREST03102,GHALL03202
GELEV00Q02_GREST03102,GELEV00Q02,GREST03102
GHALL03302_GHALL03402,GHALL03302,GHALL03402
GHALL03302_GHALL03202,GHALL03302,GHALL03202
GHALL03402_GHALL02902,GHALL03402,GHALL02902
GHALL03202_GSTAI02802,GHALL03202,GSTAI02802
GSTAI02802_GHALL02902,GSTAI02802,GHALL02902
GHALL02902_GHALL02702,GHALL02902,GHALL02702
GHALL02702_GSTAI02602,GHALL02702,GSTAI02602
GSTAI02602_GELEV00N02,GSTAI02602,GELEV00N02
GELEV00N02_GDEPT02402,GELEV00N02,GDEPT02402
GDEPT02402_GHALL03002,GDEPT02402,GHALL03002
GDEPT02402_GHALL01702,GDEPT02402,GHALL01702
GHALL01702_GINFO01902,GHALL01702,GINFO01902
GINFO01902_GHALL01802,GINFO01902,GHALL01802
GHALL01802_GHALL02002,GHALL01802,GHALL02002
GHALL02002_GHALL02102,GHALL02002,GHALL02102
GHALL02102_GINFO01902,GHALL02102,GINFO01902
GHALL02002_GHALL02202,GHALL02002,GHALL02202
GHALL02202_GHALL02302,GHALL02202,GHALL02302
GHALL02102_GHALL02302,GHALL02102,GHALL02302
GHALL02302_GHALL02702,GHALL02302,GHALL02702
GHALL02202_WHALL00802,GHALL02202,WHALL00802
GHALL01702_GHALL01602,GHALL01702,GHALL01602
GHALL01602_GHALL01502,GHALL01602,GHALL01502
GHALL01602_GHALL01402,GHALL01602,GHALL01402
GHALL01502_GHALL01302,GHALL01502,GHALL01302
GHALL01402_GHALL01202,GHALL01402,GHALL01202
GHALL01402_GHALL01302,GHALL01402,GHALL01302
GHALL01302_GHALL01102,GHALL01302,GHALL01102
GHALL01102_GHALL01202,GHALL01102,GHALL01202
GHALL01102_GDEPT00702,GHALL01102,GDEPT00702
GHALL01202_GHALL01002,GHALL01202,GHALL01002
GHALL01002_GDEPT00702,GHALL01002,GDEPT00702
GDEPT00702_GHALL00502,GDEPT00702,GHALL00502
GHALL01002_GREST00602,GHALL01002,GREST00602
GREST00602_GHALL00502,GREST00602,GHALL00502
GHALL00502_GHALL00302,GHALL00502,GHALL00302
GHALL00302_GHALL00402,GHALL00302,GHALL00402
GHALL00402_GREST00602,GHALL00402,GREST00602
GHALL00402_GHALL00202,GHALL00402,GHALL00202
GHALL00202_GHALL00102,GHALL00202,GHALL00102
GHALL00102_GHALL00302,GHALL00102,GHALL00302
GHALL00103_GHALL00203,GHALL00103,GHALL00203
GHALL00203_GHALL00303,GHALL00203,GHALL00303
GHALL00303_GDEPT00403,GHALL00303,GDEPT00403
GDEPT00403_GELEV00Q03,GDEPT00403,GELEV00Q03
GELEV00Q03_GHALL00603,GELEV00Q03,GHALL00603
GHALL00603_GHALL00703,GHALL00603,GHALL00703
GHALL00603_GHALL00803,GHALL00603,GHALL00803
GHALL00803_GSTAI00903,GHALL00803,GSTAI00903
GDEPT00403_GHALL01003,GDEPT00403,GHALL01003
GHALL01003_GHALL01103,GHALL01003,GHALL01103
GHALL01103_GREST01203,GHALL01103,GREST01203
GHALL01003_GHALL01303,GHALL01003,GHALL01303
GHALL01303_GDEPT01403,GHALL01303,GDEPT01403
GDEPT01403_GELEV00N03,GDEPT01403,GELEV00N03
GDEPT01403_GSERV01603,GDEPT01403,GSERV01603
GEXIT001L1_GHALL002L1,GEXIT001L1,GHALL002L1
GHALL002L1_GHALL003L1,GHALL002L1,GHALL003L1
GHALL003L1_GHALL004L1,GHALL003L1,GHALL004L1
GHALL003L1_GHALL005L1,GHALL003L1,GHALL005L1
GHALL005L1_GSTAI008L1,GHALL005L1,GSTAI008L1
GHALL005L1_GHALL006L1,GHALL005L1,GHALL006L1
GHALL006L1_GELEV007L1,GHALL006L1,GELEV00QL1
