nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
BCONF00102,2150,1025,2,45 Francis,CONF,Conference Room 1 Level 2,Conf B0102,Team B
BDEPT00102,2263,786,2,45 Francis,DEPT,Comprehensive Breast Heath Level 2,DEPT B0102,Team B
BDEPT00202,2166,1039,2,45 Francis,DEPT,Oral Medicine and Denstistry Level 2,DEPT B0202,Team B
BDEPT00302,2389,753,2,45 Francis,DEPT,Lee Bell Breast Center Level 2,DEPT B0302,Team B
BDEPT00402,2439,903,2,45 Francis,DEPT,Jet Center for Primary Care Level 2,DEPT B0402,Team B
BDEPT00502,2623,1018,2,45 Francis,DEPT,Ear Nose & Throat Level 2,DEPT B0502,Team B
BDEPT00602,2781,1305,2,45 Francis,DEPT,Medical Surgical Specialties Level 2,DEPT B0602,Team B
BDEPT00702,2950,775,2,45 Francis,DEPT,Plastic Surgery Level 2,DPET B0702,Team B
BDEPT00802,3155,878,2,45 Francis,DEPT,Outpatient Pharamacy Level 2,DEPT B0802,Team B
BDEPT00902,3258,877,2,45 Francis,DEPT,Weiner Center for Pre-operational Evaluation Level 2,DEPT B0902,Team B
BHALL00102,2237,902,2,45 Francis,HALL,Hallway intersection 1 Level 2,Hallway B0102,Team B
BHALL00202,2279,902,2,45 Francis,HALL,Hallway Intersection 2 Level 2,Hallway B0202,Team B
BHALL00302,2238,1028,2,45 Francis,HALL,Hallway Intersection 3 Level 2,Hallway B0302,Team B
BHALL00402,2246,1280,2,45 Francis,HALL,Hallway Intersection 4 Level 2,Hallway B0402,Team B
BHALL00502,2381,902,2,45 Francis,HALL,Hallway Intersection 5 Level 2,Hallway B0502,Team B
BHALL00602,2605,901,2,45 Francis,HALL,Hallway Intersection 6 Level 2,Hallway B0602,Team B
BHALL00702,2672,902,2,45 Francis,HALL,Hallway Intersection 7 Level 2,Hallway B0702,Team B
BHALL00802,2604,783,2,45 Francis,HALL,Hallway Intersection 8 Level 2,Hallway B0802,Team B
BHALL00902,2335,590,2,45 Francis,HALL,Hallway Intersection 9 Level 2,Hallway B0902,Team B
BHALL01002,2713,903,2,45 Francis,HALL,Hallway Intersection 10 Level 2,Hallway B1002,Team B
BHALL01102,2921,903,2,45 Francis,HALL,Hallway Intersection 11 Level 2,Hallway B1102,Team B
BHALL01202,2945,900,2,45 Francis,HALL,Hallway Intersection 12 Level 2,Hallway B1202,Team B
BHALL01302,3135,890,2,45 Francis,HALL,Hallway Intersection 13 Level 2,Hallway B1302,Team B
BHALL01402,3296,883,2,45 Francis,HALL,Hallway Intersection 14 Level 2,Hallway B1402,Team B
BHALL01502,2680,820,2,45 Francis,HALL,Hallway Intersection 15 Level 2,Hallway B1502,Team B
